newspaper,link,town,state
Arkansas Business,https://www.arkansasbusiness.com/article/125433/arkansas-cannabis-lineup-set-last-3-dispensaries-pay-fees,Not Specified,Arkansas
Arkansas Democrat-Gazette,https://www.arkansasonline.com/,Not Specified,Arkansas
Arkansas Times,https://arktimes.com/,Not Specified,Arkansas
Arkansas Weekly,https://www.arkansasweekly.com/,Batesville,Arkansas
Ashley County Ledger,http://www.ashleycountyledger.com/,Hamburg,Arkansas
Ashley News Observer,http://www.zwire.com/site/news.cfm?brd=1097,Crossett,Arkansas
Atkins Chronicle & Dover Times,http://www.atkinschronicle.com/,Dover,Arkansas
The Banner-News,https://www.magnoliabannernews.com/,Magnolia,Arkansas
Batesville Guard,http://www.guardonline.com/,Batesville,Arkansas
The Beebe News,http://beebenews.com/,Beebe,Arkansas
The Benton Courier,https://www.bentoncourier.com/,Benton,Arkansas
Blytheville Courier-News,http://www.blythevillecn.com/,Blytheville,Arkansas
Cabot Star-Herald,http://www.cabotstarherald.com/,Cabot,Arkansas
Camden News,https://www.camdenarknews.com/,Camden,Arkansas
Carlisle Independent,http://www.carlisleindependent.com/,Carlisle,Arkansas
Chicot County Spectator,http://www.chicotcountynews.com/,Not Specified,Arkansas
The Courier,https://couriernews.com/,Russellville,Arkansas
The Daily Citizen,http://www.thedailycitizen.com/,Searcy,Arkansas
Daily Siftings Herald,https://www.hsvvoice.com/,Arkadelphia,Arkansas
The Daily World,https://www.helena-arkansas.com/,Helena,Arkansas
De Queen Daily Citizen,http://www.dequeen.com/,Not Specified,Arkansas
DeWitt Era-Enterprise,https://www.dewitt-ee.com/,DeWitt,Arkansas
El Dorado News-Times,https://www.eldoradonews.com/,Not Specified,Arkansas
Fayetteville Free Weekly,http://www.freeweekly.com/,Fayetteville,Arkansas
The Gurdon Times,https://www.hsvvoice.com/,Gurdon,Arkansas
Harrison Daily Times,https://harrisondaily.com/,Harrison,Arkansas
The Herald-Leader,http://www.recordtimes.com/leader/,Not Specified,Arkansas
Hope Star,https://www.hsvvoice.com/,Hope,Arkansas
Johnson County Graphic,http://www.cswnet.com/~graphic/,Clarksville,Arkansas
The Jonesboro Sun,http://www.jonesborosun.com/,Jonesboro,Arkansas
Lafayette County Press,http://www.lafayettecountypress.com/,Stamps,Arkansas
Log Cabin Democrat,https://www.thecabin.net/,Conway,Arkansas
Lonoke Democrat,http://www.lonokedemocrat.com/,Lonoke,Arkansas
Malvern Daily Record,https://www.malvern-online.com/,Malvern,Arkansas
Monticello Times,http://www.montimes.com/,Monticello,Arkansas
Nevada County Picayune,https://www.hsvvoice.com/,Prescott,Arkansas
Newport Daily Independent,http://www.newportindependent.com/,Newport,Arkansas
North Little Rock Times,https://www.pbcommercial.com/,Not Specified,Arkansas
The Pacesetting Times,http://www.pacesettingtimes.net/,Not Specified,Arkansas
Paragould Daily Press,http://www.paragoulddailypress.com/,Paragould,Arkansas
Paris Express,http://www.cswnet.com/~express/,Paris,Arkansas
Pine Bluff Commercial,https://www.pbcommercial.com/,Not Specified,Arkansas
Rogers Hometown News,https://www.nwaonline.com/hometown/,Rogers,Arkansas
The Sentinel-Record,http://www.hotsr.com/,Not Specified,Arkansas
Sherwood Voice,https://www.pbcommercial.com/,Sherwood,Arkansas
Siftings Herald,https://www.hsvvoice.com/,Arkadelphia,Arkansas
Southwest Times Record,https://www.swtimes.com/,Not Specified,Arkansas
The Stuttgart Daily Leader,https://www.stuttgartdailyleader.com/,Stuttgart,Arkansas
The Sun-Times,https://www.thesuntimes.com/,Not Specified,Arkansas
Texarkana Gazette,http://www.texarkanagazette.com/,Texarkana,Arkansas
Times-Herald,http://www.thnews.com/,Not Specified,Arkansas
Van Buren Press Argus-Courier,https://www.pressargus.com/,Not Specified,Arkansas
Villager Journal,http://www.villageronline.com/,Not Specified,Arkansas
Village Voice,https://www.hsvvoice.com/,Not Specified,Arkansas
Weekly Vista,http://www.recordtimes.com/weeklyvista/,Not Specified,Arkansas
Andalusia Star News,https://www.andalusiastarnews.com/,Andalusia,Alabama
The Anniston Star,https://www.annistonstar.com/,Anniston,Alabama
Atmore Advance,https://www.atmoreadvance.com/,Atmore,Alabama
The Auburn Plainsman,https://www.theplainsman.com/,Auburn,Alabama
Birmingham Business Journal,http://birmingham.bcentral.com/birmingham/,Birmingham,Alabama
The Birmingham News,https://www.alabamamediagroup.com/brands/,Birmingham,Alabama
Birmingham Post-Herald,http://ww17.postherald.com/,Birmingham,Alabama
Birmingham Times Weekly,http://www.thebirminghamtimes.com/,Birmingham,Alabama
The Brewton Standard,http://www.brewtonstandard.com/,Brewton,Alabama
Clanton Advertiser,https://www.clantonadvertiser.com/,Clanton,Alabama
Cleburne News,https://www.annistonstar.com/cleburne_news/,Heflin,Alabama
Coosa County News,https://www.hugedomains.com/domain_profile.cfm?d=coosanews&e=com,Rockford,Alabama
Crimson White,https://cw.ua.edu/,Tuscaloosa,Alabama
The Cullman Times,https://www.cullmantimes.com/,Cullman,Alabama
The Daily Home,https://www.annistonstar.com/the_daily_home/,Talladega,Alabama
Daily Mountain Eagle,http://www2.mountaineagle.com/,Jasper,Alabama
The Daily Sentinel,http://jcsentinel.com/,Scottsboro,Alabama
The Decatur Daily,https://www.decaturdaily.com/,Decatur,Alabama
Demopolis Times,http://www.demopolistimes.com/,Demopolis,Alabama
The Dothan Eagle,https://www.dothaneagle.com/,Dothan,Alabama
Enterprise Ledger,https://www.dothaneagle.com/enterprise_ledger/,Enterprise,Alabama
Fort Payne Times Journal,https://times-journal.com/,Not Specified,Alabama
Franklin County Times,https://www.franklincountytimes.com/,Russellville,Alabama
Gadsden Messenger,https://gadsdenmessenger.com/,Gadsden,Alabama
Gadsden Times,https://www.gadsdentimes.com/,Gadsden,Alabama
Greenville Advocate,http://www.greenvilleadvocate.com/,Greenville,Alabama
Hartselle Enquirer,https://www.hartselleenquirer.com/,Hartselle,Alabama
Huntsville Times,https://www.alabamamediagroup.com/,Huntsville,Alabama
Jacksonville News,https://www.annistonstar.com/jacksonville_news/,Jacksonville,Alabama
Ledger-Enquirer,https://www.ledger-enquirer.com/,Columbus,Alabama
The Monroe Journal,https://www.monroejournal.com/,Monroeville,Alabama
Montgomery Advertiser,https://www.montgomeryadvertiser.com/,Montgomery,Alabama
Opelika-Auburn News ,https://www.oanow.com/,Opelika,Alabama
The Oxford Independent ,http://www.oxfordi.com/mPRMc/QZMOh/nZUWb/gnbQe/RRfXZ/SKSPo/,Oxford,Alabama
Pickens County Herald,http://theherald.pickens.net/,Carrollton,Alabama
Selma Times Journal,https://www.selmatimesjournal.com/,Selma,Alabama
Sumpter County Record-Journal,http://www.recordjournal.net/,Livingston,Alabama
Times Daily,https://www.timesdaily.com/,Florence,Alabama
